"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SF_SKU";"SPICEPREFIX";"STUFF";"VALUE";
"2";"";"PINHD-1X15-CB";"1X15-CB";"J201, J202";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";
"1";"";"USB-ABIN&OUT";"USB-AB-MICRO-SMD-V03-IN&OUT";"J401";"This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device";"";"";"";"";"";"";"";"";"";"";
"11";"0";"R-US_R0805";"R0805";"R104, R105, R303, R304, R305, R306, R401, R402, R403, R404, R405";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"3";"0.1uF";"C-EUC0805";"C0805";"C103, C301, C305";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"1";"100nF";"C-EUC0805";"C0805";"C104";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"1";"10k";"R-US_R0805";"R0805";"R101";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"4";"10k";"R-US_R0805";"R0805";"R301, R302, R307, R308";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"NO STUFF";"";
"1";"10nF";"C-EUC0805";"C0805";"C302";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"1";"12MHz";"CRYSTAL-12MHZ"";"CRYSTAL-SMD-5X3.2-4PAD";"Y301";"12.0MHz Crystal";"";"";"";"";"XTAL-08297";"";"";"";"";"12MHz";
"1";"16MHz";"CRYSTAL-16MHZSMD-5X3.2";"CRYSTAL-SMD-5X3.2-4PAD";"Y101";"16MHz Crystal";"";"";"";"";"XTAL-08218";"COM-00094";"";"";"";"16MHz";
"2";"1k";"R-US_R0805";"R0805";"R102, R103";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"C-EUC0805";"C0805";"C102";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"4";"22pF";"C-EUC0805";"C0805";"C105, C106, C303, C304";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"4";"270";"R-US_M0805";"M0805";"R201, R202, R406, R407";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"1";"4.7uF";"C-EUC0805";"C0805";"C101";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"U101";"Popular 328P in QFP";"";"";"";"";"IC-09069";"";"";"";"";"ATMEGA328P_TQFP";
"1";"CH340G";"CH340G";"SOIC16";"U301";"CH340 is a series of USB bus adapters, that provides serial, parallel or IrDA interfaces over";"";"";"";"";"";"";"";"";"";"";
"1";"FTDI Breakout Header";"MA06-1";"MA06-1";"J402";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";"";"";
"1";"ICSP HEADER";"MA03-2";"MA03-2";"J203";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";"";"";
"4";"LTST-C171GKT";"LEDCHIPLED_0805";"CHIPLED_0805";"DS201, DS202, DS401, DS402";"LED";"";"";"";"";"";"";"";"";"";"";
"1";"RESET_BTN";"MOMENTARY-SWITCH-SPST-SMD-6.2MM-TALL";"TACTILE_SWITCH_SMD_6.2MM_TALL";"S101";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"SWCH-11966";"";"COM-12992";"";"";"";
